CSV_DATE,CSV_ID,CSV_NAME,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
01/10/2019,621001,DATE FORMAT DD/MM/YYYY,Yes,item 1,multi 10
01-10-2019,621002,DATE FORMAT DD-MM-YYYY,Yes,item 1,multi 10
05-31-2019,621003,DATE FORMAT MM-DD-YYYY,Yes,item 1,multi 10
05/31/2019,621004,DATE FORMAT MM/DD/YYYY,Yes,item 1,multi 10
5/1/19,621005,DATE FORMAT M/D/YY 1 may 2019,Yes,item 1,multi 10
5-1-19,621006,DATE FORMAT M-D-YY 1 may 2019,Yes,item 1,multi 10
5-1-19,621007,DATE FORMAT M-D-YY 1 may 2019,Yes,item 1,multi 10
2019-05-31,621008,DATE FORMAT YYYY-MM-DD 2019-05-31,Yes,item 1,multi 10
2019/05/31,621009,DATE FORMAT YYYY/MM/DD 2019/05/31,Yes,item 1,multi 10
19-5-1,621010,DATE FORMAT YY/M/D 19-5-1,Yes,item 1,multi 10
2019-5-1,621011,DATE FORMAT YYYY/M/D 2019-5-1,Yes,item 1,multi 10
5/31/19,621012,DATE FORMAT M/D/YY 31 may 2019,Yes,item 1,multi 10
5-31-19,621013,DATE FORMAT M-D-YY 31 may 2019,Yes,item 1,multi 10
5-31-19,621014,DATE FORMAT M-D-YY 31 may 2019,Yes,item 1,multi 10
