CSV_DATE,CSV_ID,CSV_NAME,CSV_FLAG,CSV_CHOICELIST,CSV_CHOICELIST_MULTI
01/10/2019,721001,DATE FORMAT DD/MM/YYYY 1 oct 2019,Yes,item 1,multi 10
01-10-2019,721002,DATE FORMAT DD-MM-YYYY 1 oct 2019,Yes,item 1,multi 10
1-2-2019,721003,DATE FORMAT D-M-YYYY 1 Feb 2019,Yes,item 1,multi 10
1-2-19,721004,DATE FORMAT D-M-YY 1 Feb 2019,Yes,item 1,multi 10
2019-10-01,721005,DATE FORMAT YYYY-MM-DD 1 oct 2019,Yes,item 1,multi 10
2019-10-1,721006,DATE FORMAT YYYY-M-D 1 oct 2019,Yes,item 1,multi 10
2019-2-1,721007,DATE FORMAT YYYY-M-D 1 Feb 2019,Yes,item 1,multi 10
2019-02-01,721008,DATE FORMAT YYYY-MM-DD 1 Feb 2019,Yes,item 1,multi 10
2019-5-31 10:12:13.200,721009,DATE FORMAT YYYY-MM-DDThh:mm:ss.sss 31 may 2019 10:12:13,Yes,item 1,multi 10
2019-5-1,721010,DATE FORMAT YYYY-M-D 1 may 2019,Yes,item 1,multi 10
19-5-1,721012,DATE FORMAT YY-M-D 1 may 2019,Yes,item 1,multi 10
19-5-31,721012,DATE FORMAT YY-M-D 1 may 2019,Yes,item 1,multi 10
19-05-01,721013,DATE FORMAT YY-MM-DD 1 may 2019,Yes,item 1,multi 10
5/31/19,721014,DATE FORMAT M/D/YY 31 may 2019,Yes,item 1,multi 10
5/1/19,721015,DATE FORMAT M/D/YY 1 may 2019,Yes,item 1,multi 10
5-1-19,721016,DATE FORMAT M-D-YY 1 may 2019,Yes,item 1,multi 10
5-31-19,721017,DATE FORMAT M-D-YY 31 may 2019,Yes,item 1,multi 10
