Component ID,serial number,project number,production number,total quantity,door type,shipping address
K064967-04Door_Frame,K064967-04,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-03Door_Frame,K064967-03,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-02Door_Frame,K064967-02,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-09Door_Frame,K064967-09,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-08Door_Frame,K064967-08,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-07Door_Frame,K064967-07,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-05Door_Frame,K064967-05,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064967-10Door_Frame,K064967-10,2302404,K064967/007,10,KHG-1810 KIT,FRESH FOOD
K064996-01Door_Leaf,K064996-01,2300373,K064996/003,1,BSD-0804,KRAPPAN
K064996-01Door_Panel,K064996-01,2300373,K064996/004,1,BSD-0804,KRAPPAN
K064996-01Door_Frame,K064996-01,2300373,K064996/007,1,BSD-0804,KRAPPAN
K064433-01Door_Leaf,K064433-01,2300111,K064433/003,1,VH-1414,SEALANE
K064433-01Door_Panel,K064433-01,2300111,K064433/004,1,VH-1414,SEALANE
K064433-01Door_Frame,K064433-01,2300111,K064433/007,1,VH-1414,SEALANE
K064900-01Door_Leaf,K064900-01,2302097,K064900/003,1,KH-1010,VLEVIA
K064900-01Door_Panel,K064900-01,2302097,K064900/004,1,KH-1010,VLEVIA
K064900-01Door_Frame,K064900-01,2302097,K064900/007,1,KH-1010,VLEVIA
K064992-01Door_Leaf,K064992-01,2301985,K064992/003,1,VH-1414,LAGEMAAT
K064992-01Door_Panel,K064992-01,2301985,K064992/004,1,VH-1414,LAGEMAAT
K064992-01Door_Frame,K064992-01,2301985,K064992/007,1,VH-1414,LAGEMAAT
K065020-01Door_Leaf,K065020-01,2203061,K065020/003,1,VH-1414,LINEAGE
K065020-01Door_Panel,K065020-01,2203061,K065020/004,1,VH-1414,LINEAGE
K065020-01Door_Frame,K065020-01,2203061,K065020/007,1,VH-1414,LINEAGE
K065043-01Door_Leaf,K065043-01,2302239,K065043/003,1,VH-1414,LINEAGE
K065043-01Door_Panel,K065043-01,2302239,K065043/004,1,VH-1414,LINEAGE
K065043-01Door_Frame,K065043-01,2302239,K065043/006,1,VH-1414,LINEAGE
K064952-01Door_Leaf,K064952-01,2302897,K064952/003,1,KH-1010,SHIPKO
K064952-01Door_Panel,K064952-01,2302897,K064952/004,1,KH-1010,SHIPKO
K064952-01Door_Frame,K064952-01,2302897,K064952/007,1,KH-1010,SHIPKO
K064986-01Door_Leaf,K064986-01,2302897,K064986/003,1,VH-1414,SHIPKO
K064986-01Door_Panel,K064986-01,2302897,K064986/004,1,VH-1414,SHIPKO
K064986-01Door_Frame,K064986-01,2302897,K064986/007,1,VH-1414,SHIPKO
K065044-01Door_Leaf,K065044-01,2301213,K065044/003,1,VH-1414,CULIVERS
K065044-01Door_Panel,K065044-01,2301213,K065044/004,1,VH-1414,CULIVERS
K065047-01Door_Leaf,K065047-01,2302825,K065047/003,1,VH-1414,LAGEMAAT
K065047-01Door_Panel,K065047-01,2302825,K065047/004,1,VH-1414,LAGEMAAT
K065047-01Door_Frame,K065047-01,2302825,K065047/007,1,VH-1414,LAGEMAAT
K065147-01Door_Leaf,K065147-01,2303021,K065147/003,1,VH-1414,MEAT
K065147-01Door_Panel,K065147-01,2303021,K065147/004,1,VH-1414,MEAT
K065147-01Door_Frame,K065147-01,2303021,K065147/007,1,VH-1414,MEAT
K064955-01Door_Leaf,K064955-01,2301010,K064955/003,1,VH-1414V,BAAS
K064955-01Door_Panel,K064955-01,2301010,K064955/005,1,VH-1414V,BAAS
K064955-01Door_Frame,K064955-01,2301010,K064955/007,1,VH-1414V,BAAS
K065237-01Door_Leaf,K065237-01,2303542,K065237/003,1,KS-1810,DSR
K065237-01Door_Frame,K065237-01,2303542,K065237/008,1,KS-1810,DSR
K064898-01Door_Leaf,K064898-01,2301087,K064898/003,1,KS-1810,ISOCAB
K064898-01Door_Frame,K064898-01,2301087,K064898/008,1,KS-1810,ISOCAB
K065002-01Door_Leaf,K065002-01,2300373,K065002/002,1,BD-1804,KRAPPAN
K065003-02Door_Leaf,K065003-02,2300373,K065003/002,5,BD-1804,KRAPPAN
K065003-05Door_Leaf,K065003-05,2300373,K065003/002,5,BD-1804,KRAPPAN
K065003-01Door_Leaf,K065003-01,2300373,K065003/002,5,BD-1804,KRAPPAN
K065003-04Door_Leaf,K065003-04,2300373,K065003/002,5,BD-1804,KRAPPAN
K065003-03Door_Leaf,K065003-03,2300373,K065003/002,5,BD-1804,KRAPPAN
K065010-01Door_Leaf,K065010-01,2300373,K065010/002,1,BD-1804,KRAPPAN
K065011-01Door_Leaf,K065011-01,2300373,K065011/002,1,BD-1804,KRAPPAN
K065030-02Door_Leaf,K065030-02,2300373,K065030/002,3,BD-1804,KRAPPAN
K065030-01Door_Leaf,K065030-01,2300373,K065030/002,3,BD-1804,KRAPPAN
K065030-03Door_Leaf,K065030-03,2300373,K065030/002,3,BD-1804,KRAPPAN
